QKEY,DEVICE_TYPE_W49,LANG_W49,FORM_W49,SOCMEDIAUSEa_W49,SOCMEDIAUSEb_W49,SOCMEDIAUSEc_W49,SOCMEDIAUSEd_W49,SNSUSER_W49,ELECTFTGSNSINT_W49,TALKDISASNSINT_W49,TALKCMNSNSINT_W49,SECUR1_W49,PRIVACYNEWS1_W49,HOMEASSIST1_W49,HOMEASSIST2_W49,HOMEASSIST3_W49,HOMEASSIST4_W49,HOMEASSIST5a_W49,HOMEASSIST5b_W49,HOMEIOT_W49,FITTRACK_W49,LOYALTY_W49,DNATEST_W49,TRACKCNT_W49,TRACKCO1a_W49,TRACKCO1b_W49,CONCERNCO_W49,BENEFITCO_W49,CONTROLCO_W49,UNDERSTANDCO_W49,POSNEGCO_W49,ANONYMOUS1CO_W49,TRACKGOV1a_W49,TRACKGOV1b_W49,CONCERNGOV_W49,BENEFITGOV_W49,CONTROLGOV_W49,UNDERSTANDGOV_W49,POSNEGGOV_W49,ANONYMOUS1GOV_W49,CONCERNGRPa_W49,CONCERNGRPb_W49,CONCERNGRPc_W49,CONCERNGRPd_W49,CONCERNGRPe_W49,CONCERNGRPf_W49,CONTROLGRPa_W49,CONTROLGRPb_W49,CONTROLGRPc_W49,CONTROLGRPd_W49,CONTROLGRPe_W49,CONTROLGRPf_W49,PP1_W49,PP2_W49,PP3_W49,PP4_W49,PP5a_W49,PP5b_W49,PP5c_W49,PP5d_W49,PP5e_W49,PP6a_W49,PP6b_W49,PP6c_W49,PRIVACYREG_W49,GOVREGV1_W49,GOVREGV2_W49,SHARE1_W49,KNOW1_W49,KNOW2_W49,KNOW3_W49,KNOW4_W49,KNOW5_W49,KNOW6_W49,KNOW7_W49,KNOW8_W49,KNOW9_W49,KNOW10_W49,TOTALKNOW_W49,PWMAN_W49,PWMAN2_W49,SMARTPHONE_W49,SMARTAPP_W49,PUBLICDATA_W49,RTBFa_W49,RTBFb_W49,RTBFc_W49,RTBFd_W49,RTDa_W49,RTDb_W49,RTDc_W49,RTDd_W49,PROFILE1_W49,PROFILE2_W49,PROFILE3_W49,PROFILE4_W49,PROFILE5_W49,DATAUSEa_W49,DATAUSEb_W49,DATAUSEc_W49,DATAUSEd_W49,DATAUSEe_W49,DATAUSEf_W49,FACE1_W49,FACE2a_W49,FACE2b_W49,FACE2c_W49,FACE3a_W49,FACE3b_W49,FACE3c_W49,FACE4a_W49,FACE4b_W49,FACE4c_W49,FACE4d_W49,DB1a_W49,DB1b_W49,DB1c_W49,F_METRO,F_CREGION,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_RACECMB,F_RACETHN,F_NATIVITY,F_CITIZEN,F_MARITAL,F_RELIG,F_BORN,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME,F_INCOME_RECODE,F_REG,F_IDEO,F_ACSWEB,F_VOLSUM,WEIGHT_W49
629131,3,9,1,1,1,1,2,1,2,2, ,3,3,1,3,3,2,2, ,1,2,1,2,3,2,3,3,3,3,3,2,1, , , , , , , , ,1,3, , , , ,2,2,3, , , ,1,3,3,1,3,4,4,4,4,2,2,2,3,1, ,2,4,2,5,5,5,1,2,4,1,5,4,2,3,1,3,2,1,1,1,1, , , , ,3, , , , ,3,1,1, , , ,2,2,2,3,4,4,2,1,3, , ,2,2,2,1,3,2,2,2,3,1,1,3,1,1,3,2,2,3,2, ,2,2,3,1,5,0,1,.3551640879
629305,1,9,2,1,1,2,2,1,3, ,2,2,2,1,2,3,2, ,2,2,2,1,2,2, , , , , , , , ,2,4,2,1,3,2,2,2, , , ,1,3,1, , , ,2,3,2,4,1,1,2,2,2,2,2,2,1,1,2,2, ,1,1,4,5,4,5,5,2,3,4,4,5,2,2,1,1,2,1, , , , ,1,1,1,1,1,2,2,3,2, , , ,1,1,1,1,1,1,1,2,2,1, , ,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,2,1,1,4,4,1,1,4,2,3,2,1,2,.8347587628
630082,1,9,2,2,2,2,2,0, , , ,2,1,1,2,2,3, ,1,1,2,1,1,4, , , , , , , , ,3,3,2,3,3,2,2,1, , , ,2,3, , , , ,1,2,2,2,3,3,2,2,3,2,2,3,2,1,2,2, ,1,2,4,2,1,1,5,2,1,3,1,5,8,1, ,1,2,2, , , , ,1,1,1,1,1,3,1,2,2, , , ,1,2,2,1,1,2,3,3,2,3, , ,2,2,2,2,2,1,1,4,1,1,6,2,1,1,1,1,1,5, ,5,2, ,2,8,1,1,4,1,1,.6106254392
630394,2,9,2,2,2,2,2,0, , , ,2,3,2, , , , , ,2,2,1,2,1, , , , , , , , ,4,4,4,4,4,4,1,1, , , ,3,3, , , , ,2,4,3,4,4, , ,2,2,3,2,3,2,3,2,3, ,2,2,5,5,5,99,5,5,1,5,6,5,2,2,9,2, ,2, , , , ,2,1,1,1,3, , , , , , , ,2,2,1,2,2,2,2,4,2,2, , ,2,1,2,3,2,1,4,4,2,3,2,2,1,1,1,1,1,1,2,6,1, ,1,7,1,1,3,1,2,.865577777
630481,1,9,2,1,1,1,2,1,1, ,2,2,3,1,1,3,2, ,2,1,2,2,2,2, , , , , , , , ,1,3,1,4,4,4,2,2, , , ,2,3,1, , , ,2,2,3,1,4, , ,4,3,4,3,4,3,4,3,4, ,1,1,4,2,1,5,5,3,1,4,5,5,6,1, ,1,1,2, , , , ,1,1,1,1,2,2,1,1,2, , , ,3,3,3,1,1,1,1,4,4,2, , ,2,1,1,2,2,1,1,2,2,1,5,2,1,1,1,1,6,12, ,5,4,2,2,6,2,3,4,1,1,.7756577818
630914,1,9,1,1,2,1,2,1,2,2, ,2,3,2, , , , , ,2,2,2,2,0,1,3,2,4,4,4,2,1, , , , , , , , ,2,1,2, , , ,2,2,2, , , ,3,2,1,3,3,4,4,4,4,2,3,3,3,3, ,2,5,2,5,5,5,5,5,5,6,5,2,2,3,1,3,2,2,1,2,1, , , , ,2,2,1,3,3,3,3,1, , , ,2,2,2,2,4,3,2,1,3, , ,2,2,2,1,2,1,1,2,3,2,1,1,1,1,6,12, ,6,4,1,1,5,2,2,3,1,2,3.8240940419
632259,2,9,1,1,1,2,2,1,3,2, ,3,3,2, , , , , ,2,2,1,2,1,2,3,2,2,4,2,1,2, , , , , , , , ,1,3,99, , , ,2,3,3, , , ,1,4, , ,1,3,2,2,2,1,2,2,3,3, ,2,4,2,1,5,5,5,5,1,6,5,4,2,1,1,2,1,2,2,2,1, , , , ,1,1,1,3,2,1,1,3, , , ,2,2,2,2,2,2,1,1,3, , ,1,2,2,1,1,4,2,1,6,2,1,1,1,1,1,2,2,1,1, ,1,9,1,1,3,1,1,1.5552442227
633013,3,9,1,1,2,1,2,1,2,2, ,2,3,2, , , , , ,2,2,2,2,0,1,3,2,3,4,3,2,2, , , , , , , , ,2,2,2, , , ,3,3,2, , , ,2,4, , ,3,3,3,3,3,3,3,3,3,1, ,1,5,2,5,4,5,5,1,5,5,5,3,2,6,2, ,2,2,2,2,1, , , , ,3, , , , ,1,1,1, , , ,2,2,2,2,3,3,3,1,2, , ,1,2,2,1,1,1,1,2,4,2,1,1,1,1,6,1,1,2,3,1,1,5,2,2,2,1,1,3.2063619392
633392,1,9,1,2,2,2,1,1,3,2, ,2,4,2, , , , , ,2,2,1,2,1,1,1,1,4,4,3,2,2, , , , , , , , ,2,1,3, , , ,2,3,2, , , ,3,3,2,3,3,3,4,3,3,1,3,2,3,1, ,2,4,5,5,5,5,5,5,5,6,5,2,2,3,1,3,2,2,1,1,1, , , , ,2,1,2,3,2,3,1,2, , , ,2,2,2,3,2,3,3,1,3, , ,2,2,2,1,4,1,2,2,3,2,1,1,1,1,2,12, ,6,2, ,2,3,3,3,4,1,2,2.0745395026
633508,3,9,2,1,1,2,1,1,2, ,2,2,3,2, , , , , ,1,2,1,2,2, , , , , , , , ,2,4,2,3,4,3,2,2, , , ,1,3,1, , , ,3,3,3,1,3,3,3,3,4,4,3,4,4,3,3,3, ,2,1,4,2,5,4,5,3,5,5,1,5,5,1, ,1,3,2, , , , ,2,1,1,2,3, , , , , , , ,3,3,2,2,2,2,3,3,3,1, , ,2,3,1,1,2,1,4,2,1,1,6,2,1,1,4,2,1,1,1,3,3,1,1,9,1, ,3,1,1,2.9420834445
633665,2,9,2,2,2,2,2,0, , , ,3,3,2, , , , , ,2,2,2,2,0, , , , , , , , ,5,5,4,4,4,4,1,2, , , ,3,3, , , , ,3,4,3,5, , , ,4,4,4,4,4,4,4,4,3, ,1,2,5,5,5,5,7,5,5,5,5,5,0,2,9,2, ,1, , , , ,2,2,2,2,3, , , , , , , ,3,3,3,3, , , , , , , , , , ,2,3,2,1,3,3,1,3,1,2,2,2,1,1,6,1,2,5,2, ,2,1,3,2,3,0,2,4.2276583912
633721,3,9,2,1,1,1,2,1,1, ,2,2,2,2, , , , , ,1,1,1,2,3, , , , , , , , ,3,4,2,3,3,3,2,1, , , ,2,2,1, , , ,1,2,2,2,3,3,2,3,2,3,3,2,2,3,2,2, ,1,1,4,2,1,1,5,3,1,3,1,1,10,1, ,1,1,2, , , , ,2,1,1,1,2,3,1,2,2, , , ,1,3,2,2,2,2,2,3,2,2, , ,3,1,2,2,2,1,3,2,1,1,5,2,1,1,1,1,1,1,2,4,3,1,1,8,1,1,2,1,1,2.0584969927
634738,3,9,2,1,2,2,2,1,2, ,99,2,2,2, , , , , ,2,2,2,2,0, , , , , , , , ,3,3,1,4,4,4,2,2, , , ,2,3,1, , , ,2,3,3,4,1,1,2,2,2,3,3,4,3,3,3,2, ,1,2,4,2,5,5,7,5,5,5,4,5,2,2,6,1,3,2, , , , ,1,1,1,1,1,2,2,3,3, , , ,2,3,1,2,2,2,2,4,2,1, , ,3,1,2,2,2,2,2,4,2,2,3,2,1,1,1,1,1,1,2,5,3,1,1,99,99,1,2,1,2,1.874297023
636473,1,9,1,1,1,99,2,1,3,2, ,2,2,2, , , , , ,2,2,2,2,0,1,4,1,4,4,4,2,1, , , , , , , , ,1,1,3, , , ,2,1,1, , , ,1,1,3,4,1,1,1,4,1,4,4,1,4,1, ,2,4,5,1,5,5,5,99,5,5,5,3,2,6,1,1,2,2,2,1,1, , , , ,3, , , , ,1,3,1, , , ,1,1,2,1,3,1,3,3,1, , ,1,2,2,1,1,2,1,3,2,2,2,2,1,1,6,12, ,5,2, ,2,2,3,1,1,1,2,1.0331470738
636675,1,9,2,1,1,2,2,1,2, ,2,2,3,2, , , , , ,2,2,1,2,1, , , , , , , , ,1,1,1,4,4,3,2,2, , , ,2,3,2, , , ,3,3,3,2,3,3,2,3,3,3,4,3,2,3,2,3, ,1,2,4,2,2,5,5,3,4,5,6,5,4,1, ,1,1,2, , , , ,2,1,1,1,3, , , , , , , ,1,3,2,2,1,3,1,3,3,3, , ,2,2,2,2,2,1,3,1,2,3,1,2,1,1,4,1,3,10, ,5,4,1,1,2,3,3,3,1,2,1.8622025181
637024,1,9,1,1,1,1,1,1,3,2, ,3,3,2, , , , , ,2,2,2,2,0,2,3,2,3,3,3,2,2, , , , , , , , ,2,2,3, , , ,2,2,1, , , ,1,3,3,2,2,2,3,3,4,4,4,4,3,3, ,2,4,2,3,5,1,5,1,3,5,5,4,1, ,1,3,1,2,1,2,1, , , , ,3, , , , ,1,3,1, , , ,2,2,3,2,3,2,2,3,3, , ,1,2,2,1,3,1,1,1,5,2,2,2,1,1,6,1,2,2,2, ,2,6,2,2,4,1,2,1.3597821791
637156,3,9,2,2,2,2,2,0, , , ,2,2,2, , , , , ,1,2,1,1,3, , , , , , , , ,2,3,2,4,4,4,2,2, , , ,1,3, , , , ,3,3,3,3,3,1,1,4,4,4,4,4,4,4,4,3, ,1,1,4,5,1,1,5,5,1,5,2,5,5,2,6,1,1,2, , , , ,2,1,1,1,2,2,1,2,3, , , ,2,2,2,2,2,2,2,4,4,3, , ,2,2,1,2,2,1,4,3,1,2,3,2,1,1,1,1,1,1,2,5,1, ,1,7,1,1,2,1,2,1.3952476277
637228,1,9,1,1,2,1,2,1,1,1, ,2,2,2, , , , , ,2,1,1,2,2,2,3,1,4,4,3,2,2, , , , , , , , ,2,2,1, , , ,2,2,3, , , ,1,3,3,3,4,4,4,4,4,4,3,4,3,1, ,1,4,2,2,4,5,5,5,5,2,1,4,2,6,1,2,2,2,1,2,1, , , , ,1,1,1,2,2,1,2,2, , , ,1,2,2,1,4,4,4,1,2, , ,2,2,2,1,1,3,1,1,5,2,1,1,1,1,1,2,2,5,3,2,2,7,1,1,3,1,1,.6608559003
637234,3,9,2,1,1,1,1,1,2, ,1,2,1,1,1,3,4, ,2,2,2,1,2,2, , , , , , , , ,2,3,1,4,4,3,2,2, , , ,1,2,1, , , ,3,3,3,3,4, , ,4,4,4,4,4,4,4,4,4, ,2,1,4,2,1,5,1,3,1,3,5,1,7,2,2,1,3,2, , , , ,2,2,2,2,1,1,1,2,3, , , ,3,3,2,1,1,2,2,4,4,4, , ,2,2,2,2,2,1,1,1,2,1,5,2,3,4,4,1,6,6, ,2,3,2,2,6,2,1,5,1,2,1.6980093245
637703,1,9,1,1,1,1,1,1,2,2, ,2,2,2, , , , , ,2,2,1,2,1,1,1,1,2,4,2,2,2, , , , , , , , ,3,2, , , , ,3,3,2, , , ,1,3,2,2,3,3,3,3,3,1,2,3,3,1, ,1,1,2,3,5,5,5,5,5,5,5,2,1, ,1,1,1,2,1,1,1, , , , ,2,2,1,3,1,1,1,3, , , ,3, , , , , , , , , , ,1,2,2,1,3,2,2,3,2,2,1,1,1,1,2,1,1,2,1, ,1,2,3,1,2,1,1,.4469618146
639116,2,9,2,1,2,2,2,1,2, ,2,3,3,2, , , , , ,2,2,1,2,1, , , , , , , , ,1,4,3,2,4,1,2,2, , , ,1,2,1, , , ,2,3,3,1,3,3,2,4,4,4,4,2,3,4,4,2, ,2,1,4,2,1,1,5,5,1,4,1,5,7,2,8,1,3,2, , , , ,2,1,1,1,2,3,1,3,4, , , ,3,1,2,2,2,2,3,4,4,1, , ,2,3,2,2,2,1,2,3,1,1,5,2,1,1,1,1,1,1,2,4,3,1,1,9,1,1,2,1,1,.4294172867
640394,2,9,2,1,1,2,2,1,3, ,99,2,2,2, , , , , ,2,1,1,1,3, , , , , , , , ,5,5,99,99,4,4,99,1, , , ,2,3,2, , , ,2,3,3,1,3,2,4,2,4,2,3,3,4,4,4,4, ,1,1,4,2,1,1,5,5,5,4,6,5,5,2,7,1,3,1, , , , ,2,1,1,1,3, , , , , , , ,1,3,1,2,3,3,2,4,3,3, , ,2,1,2,2,2,1,4,4,2,3,2,2,1,1,1,1,5,1,2,1,4,99,9,4,2,3,99,1,1,.2884668795
640648,1,9,2,1,2,2,1,1,2, ,2,2,2,1,1,3,4, ,2,1,2,1,1,4, , , , , , , , ,2,3,1,4,1,4,2,2, , , ,1,3,1, , , ,2,3,2,2,3,2,3,4,4,4,3,4,4,4,4,4, ,2,1,1,5,1,4,5,5,5,5,5,5,2,2,6,1,2,2, , , , ,1,1,1,1,2,2,2,3,3, , , ,3,3,3,2,2,2,2,3,3,3, , ,2,2,2,2,2,1,1,3,1,2,3,2,1,1,1,1,1,1,1,4,3,1,1,7,1,1,3,0,1,.2453304141
641779,1,9,1,2,2,2,2,0, , , ,3,3,2, , , , , ,2,1,1,2,2,1,2,3,1,2,2,1,2, , , , , , , , ,3,3,3, , , , ,2,2, , , ,2,4, , ,1,1,1,1,1,1,1,1,2,3, ,2,5,5,1,5,5,5,1,5,1,5,4,2,2,1,1,2,2,1,1,1, , , , ,1,3,1,2,1,1,1,3, , , ,1,1,1,2,1,1,1,1,1, , ,2,2,2,1,4,4,1,1,6,2,1,1,1,1,1,10, ,6,2, ,2,8,1,1,5,1,1,1.156160416
642550,1,9,2,2,2,2,2,0, , , ,2,4,2, , , , , ,2,2,1,2,1, , , , , , , , ,3,4,2,99,3,4,99,2, , , ,2,3, , , , ,2,4,3,2,4, , ,3,3,4,3,3,3,3,2,3, ,2,1,5,2,2,5,5,5,5,5,5,5,2,2,9,2, ,1, , , , ,2,1,2,1,2,2,1,3,2, , , ,1,1,1,2,2,1,2,3,1,1, , ,2,3,2,3,2,1,3,3,1,3,1,2,1,1,1,1,1,12, ,6,3,1,1,5,2,1,3,1,2,1.5014198214
642663,3,9,2,2,2,1,2,1,3, ,2,2,2,2, , , , , ,2,2,1,2,1, , , , , , , , ,1,3,2,3,3,3,2,2, , , ,2,3,2, , , ,2,2,2,1,4, , ,2,3,3,3,3,3,3,2,3, ,2,1,5,2,2,1,5,2,1,3,1,5,6,2,6,1,3,2, , , , ,99,99,99,99,3, , , , , , , ,99,99,2,2,99,2,99,99,1,99, , ,2,99,99,2,99,1,1,2,1,3,2,2,1,1,1,1,1,99, ,1,3,1,1,8,1,1,2,0,2,3.3216590438
642888,1,9,1,2,1,2,1,1,3,2, ,2,4,2, , , , , ,2,2,1,2,1,1,1,1,3,4,3,2,1, , , , , , , , ,1,1,2, , , ,2,3,3, , , ,2,3,3,3,3,3,3,3,4,3,4,2,3,1, ,1,4,5,1,4,5,5,5,5,3,5,3,2,6,1,1,2,2,1,1,1, , , , ,2,3,1,2,2,1,1,2, , , ,2,2,3,3,3,3,3,1,2, , ,2,2,2,1,2,2,2,1,5,2,4,4,1,1,2,12, ,6,1, ,1,6,2,1,3,1,2,1.8836517531
644372,3,9,1,1,1,2,2,1,1,1, ,2,3,2, , , , , ,2,2,1,2,1,2,3,3,3,4,2,2,2, , , , , , , , ,2,2, , , , ,3,3,3, , , ,2,2,1,2,4,3,4,4,4,3,3,3,3,1, ,1,1,5,1,1,5,5,1,5,1,5,5,2,2,1,3,1,2,1,2,1, , , , ,1,2,1,2,3,3,3,1, , , ,2,1,2,2,4,3,2,1,2, , ,2,2,2,1,4,4,2,2,4,2,1,1,1,1,1,9, ,6,2, ,2,6,2,1,5,1,2,.6753748144
644602,3,9,1,1,2,1,1,1,2,2, ,2,1,2, , , , , ,1,2,1,1,3,1,3,1,3,3,2,2,2, , , , , , , , ,1,2,1, , , ,2,2,3, , , ,2,2,1,2,3,3,3,3,4,2,2,2,3,1, ,1,4,5,1,1,1,1,1,3,1,5,6,1, ,1,1,2,2,2,2,1, , , , ,1,2,1,1,1,2,3,2, , , ,1,1,1,1,3,3,3,2,2, , ,1,2,2,1,1,2,1,2,3,2,1,1,1,1,1,2,2,4,1, ,1,9,1,1,2,1,1,1.4386092229
644610,1,9,2,2,1,1,2,1,2, ,2,2,3,2, , , , , ,2,2,2,2,0, , , , , , , , ,3,3,3,3,3,3,2,1, , , ,2,2,2, , , ,2,2,2,2,4, , ,4,4,4,4,4,3,3,3,3, ,2,2,4,2,1,1,1,1,5,4,1,5,5,1, ,1,1,2, , , , ,2,1,1,1,2,1,1,2,3, , , ,2,2,2,2,3,3,3,3,3,2, , ,2,2,2,2,2,2,3,2,1,3,2,2,1,1,1,1,3,12, ,5,4,1,1,6,2,1,3,1,2,2.2363311441
644744,3,9,2,1,2,2,1,1,2, ,2,2,2,1,2,2,2, ,1,1,2,1,1,4, , , , , , , , ,2,3,2,2,1,2,2,1, , , ,2,3,2, , , ,3,2,2,2,2,1,1,2,3,4,4,2,2,3,2,1, ,2,1,4,2,1,1,5,3,1,4,5,1,8,1, ,1,3,2, , , , ,2,1,1,1,2,3,1,2,2, , , ,1,2,2,1,1,1,1,4,4,1, , ,1,1,1,2,2,1,3,3,2,2,3,2,1,1,1,1,5,1,2,6,1, ,1,7,1,1,2,1,2,.635699384
645149,1,9,1,1,1,2,2,1,2,1, ,3,3,1,3,1,1,1, ,2,1,2,2,2,2,3,2,3,3,2,2,2, , , , , , , , ,3,3, , , , ,2,2,1, , , ,4,3,3,2,2,2,3,2,2,2,2,2,2,3, ,1,4,2,1,1,5,3,1,3,5,5,8,2,1,1,1,2,2,2,1,1, , , , ,2,3,2,2,2,2,1,1, , , ,2,3,3,2,2,2,2,1,1, , ,2,2,2,2,3,1,2,2,3,2,1,1,1,1,1,1,1,1,4,1,1,4,2,1,2,1,1,.8545596273
645361,1,9,2,1,2,2,1,1,3, ,2,3,3,2, , , , , ,2,2,1,2,1, , , , , , , , ,4,4,2,2,4,4,2,1, , , ,2,2,2, , , ,2,2,3,3,4, , ,3,2,2,3,3,2,3,2,3, ,1,2,1,2,1,5,5,5,5,5,5,5,3,2,2,1,2,2, , , , ,1,1,1,1,1,2,3, , , , , ,1,1,1,2,1,2,2,3,1,3, , ,2,2,2,2,2,1,4,2,1,3,2,2,3,4,1,1,2,12, ,5,2, ,2,6,2,1,4,1,2,2.6119353778
645663,1,9,1,1,1,2,1,1,2,2, ,2,2,1,3,3,3,2, ,2,2,2,2,1,2,3,3,2,3,3,2,2, , , , , , , , ,1,2, , , , ,3,3,2, , , ,1,1,2,4,2,2,2,2,2,1,2,1,3,2, ,2,4,2,99,4,5,1,5,4,5,5,3,2,2,1,1,1,1,1,1,1, , , , ,3, , , , ,1,1,1, , , ,1,1,2,2,3,2,2,1,1, , ,2,2,2,1,3,3,1,3,2,2,1,1,4,2,6,2,2,4,4,1,1,2,3, ,3,1,2,.6956270781
645900,1,9,2,1,1,2,2,1,1, ,1,2,2,2, , , , , ,2,1,1,2,2, , , , , , , , ,4,3,3,3,4,2,2,2, , , ,2,2,3, , , ,2,1,3,1,1,1,1,2,2,3,2,1,2,3,3,2, ,2,1,4,2,3,1,5,3,1,4,1,1,8,2,6,1,2,2, , , , ,1,1,1,1,1,1,4, , , , , ,2,2,2,2,1,1,2,3,3,1, , ,2,3,2,2,2,1,2,4,1,1,6,2,1,1,1,1,1,1,2,3,3,2,2,6,2,1,4,0,1,.1583839752
645972,1,9,2,2,2,1,1,1,3, ,2,2,2,2, , , , , ,2,2,2,2,0, , , , , , , , ,4,4,1,4,4,2,2,1, , , ,2,3,2, , , ,1,2,1,2,3,1,2,4,4,4,4,4,4,4,4,3, ,1,1,4,2,1,1,1,3,1,3,1,1,9,1, ,1,3,2, , , , ,2,1,2,1,2,3,1,2,3, , , ,2,2,2,1,1,2,2,4,4,4, , ,2,2,1,1,2,1,4,2,1,1,5,2,1,1,4,1,3,1,1,1,4,1,1,6,2,3,2,1,1,.8711109601
646386,1,9,1,1,2,2,2,1,2,2, ,2,1,2, , , , , ,2,2,1,2,1,1,2,1,3,3,2,2,2, , , , , , , , ,1,2,3, , , ,3,3,3, , , ,2,1,2,2,3,3,3,3,3,2,3,3,2,1, ,2,5,2,5,5,3,5,5,5,5,5,1,2,3,1,1,2,1,1,1,1, , , , ,2,2,1,2,2,2,1,1, , , ,1,1,1,2,3,2,2,1,2, , ,2,2,2,1,4,4,1,3,2,2,1,1,1,1,1,12, ,6,3,1,1,4,2,1,2,1,2,.946438121
646743,1,9,2,1,1,2,2,1,1, ,1,2,1,1,1,1,1, ,1,2,2,1,2,2, , , , , , , , ,1,1,1,1,4,3,1,2, , , ,1,2,1, , , ,2,3,3,1,2,2,2,3,3,3,3,3,3,3,3,3, ,1,2,5,2,2,5,7,3,5,5,2,5,2,2,1,1,1,1, , , , ,2,1,1,1,3, , , , , , , ,1,1,1,2,2,2,2,2,2,3, , ,2,1,1,1,2,1,3,3,2,3,2,2,2,2,1,1,3,3,1,2,2, ,2,2,3,1,3,1,1,.6251389882
646764,1,9,1,1,2,2,2,1,3,2, ,2,1,1,2,3,2,1, ,2,2,1,2,2,1,2,2,3,3,4,2,1, , , , , , , , ,2,2,3, , , ,2,2,3, , , ,2,3,3,4,3,3,4,4,4,2,2,2,4,1, ,1,4,2,1,1,1,2,1,5,1,5,6,1, ,1,4,2,1,1,1,1, , , , ,3, , , , ,2,2,2, , , ,2,2,2,3,3,4,4,2,2, , ,2,2,2,1,4,2,1,1,6,1,1,3,1,1,6,12, ,6,1, ,1,7,1,1,4,1,1,.4365717395
647050,2,9,2,1,2,2,2,1,2, ,2,1,4,2, , , , , ,2,2,1,2,1, , , , , , , , ,5,5,4,4,4,4,1,2, , , ,3,3,3, , , ,3,3,3,5, , , ,4,4,4,4,4,4,4,4,4, ,2,2,5,5,5,5,7,5,5,5,6,5,0,2,8,2, ,2, , , , ,2,2,2,2,3, , , , , , , ,3,3,3,3, , , , , , , , , , ,2,2,2,2,3,1,1,3,2,2,1,1,1,1,6,1,1,2,1, ,1,3,3,1,2,0,1,2.8866055355
647661,3,9,1,1,1,2,2,1,2,2, ,2,1,2, , , , , ,2,2,1,2,1,1,3,1,3,3,2,2,2, , , , , , , , ,2,1, , , , ,3,3,3, , , ,3,4, , ,3,4,4,4,4,2,2,2,3,1, ,1,4,4,1,1,5,3,1,5,5,1,7,2,5,1,1,2,1,1,2,1, , , , ,1,1,1,1,2,2,1,1, , , ,1,2,2,2,3,3,2,1,1, , ,1,2,2,1,3,4,1,1,5,2,1,1,1,1,1,5, ,6,2, ,2,9,1,1,4,1,1,.4849078859
648143,1,9,2,1,2,2,2,1,2, ,2,2,2,1,3,3,3, ,2,1,2,1,2,3, , , , , , , , ,3,4,3,4,4,3,2,1, , , ,2,3,1, , , ,3,3,3,1,2,1,2,4,3,4,4,4,3,3,3,2, ,1,1,4,2,1,5,5,1,5,4,1,5,5,2,6,1,3,2, , , , ,2,1,1,1,2,2,1,1,3, , , ,2,2,3,1,2,2,2,4,4,2, , ,2,2,2,2,2,1,3,2,2,3,1,2,1,1,1,1,1,1,1,3,1, ,1,7,1,1,2,1,2,1.3920351161
648758,3,9,1,1,1,2,2,1,3,2, ,3,3,2, , , , , ,2,2,1,2,1,2,4,3,3,2,2,2,1, , , , , , , , ,3,2,3, , , ,2,2,2, , , ,2,4, , ,2,2,2,2,2,2,3,2,2,3, ,1,4,2,1,5,5,4,1,3,5,5,6,2,5,1,1,2,1,1,1,1, , , , ,1,2,1,3,2,1,2,1, , , ,2,2,2,2,3,3,2,1,2, , ,2,2,2,1,4,3,1,2,3,2,1,1,1,1,1,1,2,6,1, ,1,8,1,1,2,1,1,.7241814475
648860,3,9,1,1,1,2,1,1,2,2, ,2,2,1,2,1,2,1, ,1,2,1,2,3,1,2,1,2,3,3,2,2, , , , , , , , ,1,1,2, , , ,2,3,2, , , ,2,3,3,4,3,2,3,3,4,2,4,2,3,1, ,1,4,2,1,1,5,3,1,3,1,1,10,1, ,1,1,2,1,1,1,1, , , , ,1,1,1,2,2,1,1,2, , , ,1,2,3,3,4,3,3,3,2, , ,2,2,2,1,1,2,1,1,6,2,1,1,4,1,1,10, ,6,2, ,2,9,1,1,5,1,2,.5529510704
649014,1,9,2,2,1,1,2,1,3, ,2,2,2,1,3,3,4, ,2,2,1,1,2,3, , , , , , , , ,3,4,2,4,4,4,2,2, , , ,2,3,2, , , ,2,3,2,2,4, , ,3,3,4,3,4,2,4,4,2, ,1,1,4,2,1,5,1,3,1,5,1,1,7,2,7,1,1,2, , , , ,1,2,1,1,2,2,1,2,3, , , ,2,2,2,1,4,2,4,4,4,4, , ,2,2,2,2,2,1,3,2,2,1,6,1,1,3,1,1,6,1,2,4,2, ,2,7,1,1,5,1,1,.3928111598
649120,1,9,1,1,2,2,2,1,3,2, ,2,2,2, , , , , ,2,2,1,1,2,3,3,2,2,2,2,2,1, , , , , , , , ,3,3,3, , , ,2,2,2, , , ,4,1,1,2,2,2,2,2,2,2,3,2,2,1, ,2,5,5,4,5,5,2,2,5,5,5,1,2,2,1,1,2,2,2,2,1, , , , ,1,2,2,2,2,3,3,3, , , ,2,2,2,2,2,2,2,1,3, , ,2,2,2,1,3,3,2,2,3,2,5,4,1,1,1,12, ,6,3,2,2,6,2,1,3,1,2,1.1964931991
